Velocidade do vento (m/s);Potência (kWh)
0,66;-6,37
0,67;-5,93
0,72;-6,97
0,73;-8,36
0,87;-5,81
0,89;-6,83
0,97;-6,28
0,97;-6,82
0,99;-7,2
1,04;-6,86
1,05;-5,96
1,11;-10,16
1,11;-6,22
1,15;-5,96
1,18;-7,14
1,25;-7,84
1,27;-6,74
1,34;-7,33
1,35;-7,43
1,36;-7,04
1,43;-6,08
1,45;-6,55
1,46;-5,92
1,47;-9,67
1,47;-10,59
1,48;-8
1,5;-7,74
1,52;-6,57
1,55;-7,86
1,57;-6,52
1,58;-7,02
1,6;-5,95
1,65;-6,73
1,66;-6,49
1,74;-7,18
1,75;-6,61
1,8;-7,43
1,8;-8,59
1,81;-6,61
1,81;-6,69
1,84;-7,89
1,85;-6,9
1,85;-6,96
1,86;-6,41
1,87;-8,89
1,87;-9,56
1,88;-8,84
1,89;-6,77
1,89;-6,09
1,92;-10,03
1,92;-7,04
1,95;-10,51
1,96;-9,6
1,97;-9,81
1,97;-5,64
1,97;-9,56
1,98;-7,07
1,99;-9,92
2;-11,63
2,01;-10,11
2,01;-7
2,02;-9,66
2,05;-7,09
2,07;-7,57
2,08;-9,32
2,08;-9,77
2,09;-6,81
2,1;-6,84
2,11;-6,36
2,12;-9,66
2,14;-6,93
2,14;-6,03
2,15;-7,43
2,15;-5,56
2,16;-8,98
2,18;-6,98
2,18;-9,8
2,2;-10,06
2,2;-7,96
2,2;-10,86
2,2;23,78
2,2;-10,38
2,2;-9,61
2,21;-8,95
2,21;-5,77
2,21;-9,42
2,22;-8,38
2,23;-9,97
2,24;-5,85
2,28;-10,11
2,28;-7,25
2,29;-7,2
2,3;-7,09
2,31;-8,7
2,33;-10,07
2,33;-6,4
2,35;-10,08
2,35;-7,82
2,36;-9,73
2,38;-10,52
2,39;-6,52
2,4;-7,97
2,4;-11,02
2,41;-9,9
2,42;-2,92
2,43;-5,92
2,44;-10,02
2,44;-6,33
2,44;-5,68
2,44;-5,89
2,45;-9,37
2,45;-8,99
2,46;-5,37
2,46;-8,29
2,47;-7,62
2,47;-10,17
2,47;3,17
2,49;-6,37
2,49;-6,01
2,49;-8,75
2,5;-10,38
2,51;-6,89
2,51;-8,9
2,52;-6,23
2,53;32,89
